[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-2
Sequence ID : 529

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 26/03/2016 03:11:58
Order : 37
Analyse step ID : 13133

[SAMPLE]
Sample Name : T23-1-1

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
53	12017.4197065529	387079.743534572	526736.096511028	297254.785833389	234380.732308219	121372.18000623	194221.76289386	133948.928625172	133981.349772322	98055.9944707198	258591.888281103	143546.265239612	171240.918429828	80335.7642981288	14848.5811685461	93660.1200215327	130929.881118872	116773.637385738
54	12005.360078147	387079.743534572	526736.096511028	297133.109703289	234258.976083643	121250.32038775	195569.805028201	135477.474957832	134464.455600828	98901.6519179006	259213.005706918	144637.674207763	172377.701835216	80579.2060081231	14919.385029704	93943.5704496134	131379.591211037	117223.508305771
55	11981.240821335	386835.836953895	526491.102977767	297011.433573189	234137.219859067	121067.53096003	196606.760516155	137006.021290492	135028.079067419	99707.0399628346	259627.083990795	145729.083175914	173617.829186548	80863.2213364499	14980.0740535537	94227.0208776941	131765.057004321	117609.111951513
56	11975.211007132	386591.930373218	526246.109444506	296889.75744309	234015.463634491	120945.67134155	197747.411552905	138454.117816169	135591.702534009	100512.428007769	260144.681845641	146768.520288438	174754.612591937	81106.6630464442	15071.1075893281	94510.4713057749	132150.522797605	118058.982871546
57	11969.181192929	386348.023792541	526246.109444506	296889.75744309	233893.707409916	120823.81172307	198888.062589655	139821.764534865	136074.808362515	101277.546650456	260662.279700487	147755.985545336	175994.739943269	81350.1047564385	15131.7966131778	94753.4288155583	132535.98859089	118380.319242999
58	11951.0917503201	386348.023792541	526001.115911245	296768.08131299	233893.707409916	120762.88191383	200028.713626404	141269.861060542	136638.431829105	102042.665293143	261179.877555333	148847.394513487	177234.867294602	81634.1200847652	15202.6004743357	95036.8792436391	132921.454384174	118830.190163032
59	11939.0321219141	386348.023792541	526001.115911245	296646.40518289	233771.95118534	120701.95210459	201169.364663154	142637.507779237	137121.537657611	102807.783935831	261697.475410179	149834.859770385	178474.994645934	81877.5617947596	15273.4043354936	95320.3296717198	133306.920177458	119215.793808775
60	11951.0917503201	386104.117211864	525511.128844723	296524.729052791	233650.194960764	120519.162676869	202206.320151109	144005.154497933	137685.161124202	103572.902578518	262215.073265025	150874.296882909	179715.121997266	82121.0035047539	15334.0933593433	95563.2871815033	133692.385970742	119601.397454517
61	11920.9426793051	385860.210631186	525511.128844723	296403.052922691	233650.194960764	120397.303058389	203346.971187859	145292.351409646	138168.266952708	104297.751818959	262732.671119871	151913.733995433	180851.905402655	82364.4452147482	15415.0120578095	95846.737609584	134077.851764026	119987.00110026
62	11914.9128651022	385616.304050509	525266.135311462	296159.700662492	233528.438736189	120336.373249149	204487.622224608	146579.54832136	138731.890419298	105022.601059399	263250.268974717	152953.171107958	182195.376699931	82648.460543075	15475.7010816591	96130.1880376647	134399.07325843	120372.604746003
63	11902.8532366962	385616.304050509	525266.135311462	296159.700662492	233528.438736189	120153.583821429	205524.577712563	147866.745233073	139214.996247804	105707.180897593	263664.347258594	153940.636364856	183435.504051264	82891.9022530693	15556.6197801253	96373.1455474482	134720.294752833	120758.208391745
64	11902.8532366962	385616.304050509	524776.14824494	296038.024532392	233406.682511613	120092.654012189	206561.533200517	149153.942144786	139698.10207631	106391.760735787	264181.94511344	154980.07347738	184675.631402596	83094.7703447312	15627.4236412832	96656.595975529	135105.760546118	121079.544763197
65	11896.8234224932	385372.397469832	525021.141778201	296038.024532392	233284.926287037	120031.724202949	207702.184237267	150360.689249518	140261.7255429	107076.340573981	264699.542968286	155967.538734278	186019.102699873	83338.2120547255	15688.1126651329	96899.5534853124	135426.982040521	121465.14840894
66	11884.7637940872	385128.490889155	524776.14824494	295794.672272193	233163.170062462	119970.794393709	208635.444176426	151647.886161231	140744.831371406	107760.920412175	265217.140823133	157006.975846803	187259.230051206	83581.6537647199	15748.8016889825	97142.5109950959	135748.203534925	121786.484780392
