[DATABASE]
Software SN : AFH11119
Software version : Version 5.0.0

[USER]
User name : ACCESS LEVEL

[ANALYSER]
Analyser Type : Fox
Analyser ID : 3

[SEQUENCE]
Sequence name : 20160325-huajiaoyou-1
Sequence ID : 528

[Method]
Method name : huajiaoyou-20160325Method
Inj vol : ##################
Sample temperature : ##################
Method ID : 227

[ANALYSE STEP]
Injection date : 25/03/2016 20:05:32
Order : 33
Analyse step ID : 13090

[SAMPLE]
Sample Name : H8-3

[CHAMBER]
Chamber count : 3
ChSensor count : 6
ChSensor count : 6
ChSensor count : 6
ChControl count : 2
ChControl count : 2
ChControl count : 2
GeneralControl count : 1

[SENSOR NAME]
LY2/LG	LY2/G	LY2/AA	LY2/GH	LY2/gCTL	LY2/gCT	T30/1	P10/1	P10/2	P40/1	T70/2	PA/2	P30/1	P40/2	P30/2	T40/2	T40/1	TA/2	

[SENSOR SN]
LY2/LG/T11402060137511	LY2/G/T113030701276912	LY2/AA/T123030701272706	LY2/GH/T123030701275308	LY2/gCTL/T133030701270003	LY2/gCT/T122270701294510	T30/1/20103	P10/1/19101	P10/2/17112	P40/1/16105	T70/2/18116	PA/2/19102	P30/1/15114	P40/2/13116	P30/2/13113	T40/2/12112	T40/1/15102	TA/2/10115	

[SENSOR NP TYPE]
P	P	P	P	P	P	N	N	N	N	N	N	N	N	N	N	N	N	

[SENSOR DATA]
70	15303.6684471808	337384.025242237	450298.114133613	263063.793275393	211368.805863412	109856.446059856	269919.513514531	171599.438292788	156043.182607428	118915.544834512	329578.267138725	207051.208623929	263733.750050043	92954.1595995016	23355.1593448045	109661.671746454	139795.594364409	125642.521237819
71	15291.6088187748	337262.09389954	450543.107666874	262942.117145294	211368.805863412	109795.516250616	270749.077904895	172564.835976573	156445.77079785	119398.777661472	329785.288663309	207882.739582258	265077.221347319	93116.4540728311	23405.7335313459	109904.107277213	140052.571559932	125899.590334981
72	15291.6088187748	337262.09389954	450298.114133613	262942.117145294	211368.805863412	109734.586441376	271578.642295258	173449.783853376	156928.876626356	119922.279890679	330199.331712479	208610.329170796	266317.348698652	93278.7485461607	23456.3077178872	110146.542807971	140309.548755455	126156.659432143
73	15291.6088187748	337140.162556843	450298.114133613	262942.117145294	211368.805863412	109673.656632136	272511.902234417	174334.731730179	157331.464816778	120405.51271764	330613.374761648	209545.801498916	267557.476049984	93481.6166378226	23506.8819044286	110388.97833873	140630.770249858	126477.995803595
74	15279.5491903689	337140.162556843	450298.114133613	262820.441015194	211247.049638836	109612.726822896	273341.466624781	175300.129413964	157734.053007199	120888.7455446	330820.396286232	210273.391087454	268900.947347261	93643.9111111522	23557.45609097	110631.413869488	140887.747445381	126735.064900757
75	15279.5491903689	337140.162556843	450053.120600353	262820.441015194	211247.049638836	109551.797013656	274171.031015144	176185.077290767	158136.641197621	121371.97837156	331234.439335402	211104.922045783	270037.730752649	93765.6319661493	23628.2599521279	110793.037556661	141144.724640904	126992.133997918
76	15279.5491903689	337018.231214146	450053.120600353	262820.441015194	211247.049638836	109612.726822896	275000.595405508	177070.02516757	158539.229388043	121855.211198521	331648.482384571	211832.511634321	271277.858103982	93927.9264394789	23668.719301361	110954.661243833	141401.701836427	127249.20309508
77	15273.5193761659	337018.231214146	450053.120600353	262698.764885094	211125.29341426	109490.867204416	275830.159795871	177954.973044373	158941.817578464	122298.174623235	331855.503909156	212664.04259265	272621.329401259	94090.2209128085	23709.1786505941	111197.096774592	141658.679031949	127506.272192242
78	15273.5193761659	336896.299871449	450053.120600353	262698.764885094	211125.29341426	109429.937395176	276556.028637439	178759.471114194	159344.405768886	122781.407450195	332269.546958325	213391.632181188	273861.456752591	94252.515386138	23790.0973490603	111358.720461764	141915.656227472	127699.074015113
79	15267.4895619629	336896.299871449	449808.127067092	262698.764885094	211125.29341426	109429.937395176	277489.288576598	179563.969184015	159746.993959308	123224.370874909	332683.590007494	214223.163139517	275101.584103924	94414.8098594676	23820.4418609851	111601.155992523	142172.633422995	128020.410386565
